DDP: I am worker 0 of 1. My local rank is 0
=> Dummy data is used!
start training
[METRIC] [2024-06-22T06:52:02.646061] Step 0 Rank 0 processed 400 samples in 3.3094 seconds
[METRIC] [2024-06-22T06:52:03.221555] Step 1 Rank 0 processed 400 samples in 0.5754 seconds
[METRIC] [2024-06-22T06:52:03.420530] Step 2 Rank 0 processed 400 samples in 0.1989 seconds
[METRIC] [2024-06-22T06:52:03.860574] Step 3 Rank 0 processed 400 samples in 0.4400 seconds
[METRIC] [2024-06-22T06:52:04.301503] Step 4 Rank 0 processed 400 samples in 0.4409 seconds
[METRIC] [2024-06-22T06:52:04.742249] Step 5 Rank 0 processed 400 samples in 0.4407 seconds
[METRIC] [2024-06-22T06:52:05.183049] Step 6 Rank 0 processed 400 samples in 0.4407 seconds
[METRIC] [2024-06-22T06:52:05.623996] Step 7 Rank 0 processed 400 samples in 0.4409 seconds
[METRIC] [2024-06-22T06:52:06.064788] Step 8 Rank 0 processed 400 samples in 0.4407 seconds
[METRIC] [2024-06-22T06:52:06.505653] Step 9 Rank 0 processed 400 samples in 0.4408 seconds
[METRIC] [2024-06-22T06:52:06.947320] Step 10 Rank 0 processed 400 samples in 0.4416 seconds
[METRIC] [2024-06-22T06:52:07.388066] Step 11 Rank 0 processed 400 samples in 0.4407 seconds
[METRIC] [2024-06-22T06:52:07.828871] Step 12 Rank 0 processed 400 samples in 0.4408 seconds
[METRIC] [2024-06-22T06:52:08.270878] Step 13 Rank 0 processed 400 samples in 0.4420 seconds
[METRIC] [2024-06-22T06:52:08.710445] Step 14 Rank 0 processed 400 samples in 0.4395 seconds
[METRIC] [2024-06-22T06:52:09.156605] Step 15 Rank 0 processed 400 samples in 0.4461 seconds
[METRIC] [2024-06-22T06:52:09.594194] Step 16 Rank 0 processed 400 samples in 0.4375 seconds
[METRIC] [2024-06-22T06:52:10.033799] Step 17 Rank 0 processed 400 samples in 0.4396 seconds
[METRIC] [2024-06-22T06:52:10.474906] Step 18 Rank 0 processed 400 samples in 0.4411 seconds
[METRIC] [2024-06-22T06:52:10.917904] Step 19 Rank 0 processed 400 samples in 0.4429 seconds
[METRIC] [2024-06-22T06:52:11.356763] Step 20 Rank 0 processed 400 samples in 0.4388 seconds
[METRIC] [2024-06-22T06:52:11.798032] Step 21 Rank 0 processed 400 samples in 0.4412 seconds
[METRIC] [2024-06-22T06:52:12.239281] Step 22 Rank 0 processed 400 samples in 0.4412 seconds
[METRIC] [2024-06-22T06:52:12.680356] Step 23 Rank 0 processed 400 samples in 0.4410 seconds
[METRIC] [2024-06-22T06:52:13.121115] Step 24 Rank 0 processed 400 samples in 0.4407 seconds
[METRIC] [2024-06-22T06:52:13.562319] Step 25 Rank 0 processed 400 samples in 0.4412 seconds
[METRIC] [2024-06-22T06:52:14.002892] Step 26 Rank 0 processed 400 samples in 0.4405 seconds
[METRIC] [2024-06-22T06:52:14.445761] Step 27 Rank 0 processed 400 samples in 0.4428 seconds
[METRIC] [2024-06-22T06:52:14.885408] Step 28 Rank 0 processed 400 samples in 0.4396 seconds
[METRIC] [2024-06-22T06:52:15.326321] Step 29 Rank 0 processed 400 samples in 0.4409 seconds
[METRIC] [2024-06-22T06:52:15.768371] Step 30 Rank 0 processed 400 samples in 0.4420 seconds
[METRIC] [2024-06-22T06:52:16.208792] Step 31 Rank 0 processed 400 samples in 0.4404 seconds
[METRIC] [2024-06-22T06:52:16.649077] Step 32 Rank 0 processed 400 samples in 0.4402 seconds
[METRIC] [2024-06-22T06:52:17.092343] Step 33 Rank 0 processed 400 samples in 0.4432 seconds
[METRIC] [2024-06-22T06:52:17.530730] Step 34 Rank 0 processed 400 samples in 0.4383 seconds
[METRIC] [2024-06-22T06:52:17.972958] Step 35 Rank 0 processed 400 samples in 0.4422 seconds
[METRIC] [2024-06-22T06:52:18.414814] Step 36 Rank 0 processed 400 samples in 0.4418 seconds
[METRIC] [2024-06-22T06:52:18.854656] Step 37 Rank 0 processed 400 samples in 0.4398 seconds
[METRIC] [2024-06-22T06:52:19.295169] Step 38 Rank 0 processed 400 samples in 0.4405 seconds
[METRIC] [2024-06-22T06:52:19.736723] Step 39 Rank 0 processed 400 samples in 0.4415 seconds
[METRIC] [2024-06-22T06:52:20.177373] Step 40 Rank 0 processed 400 samples in 0.4406 seconds
[METRIC] [2024-06-22T06:52:20.618461] Step 41 Rank 0 processed 400 samples in 0.4411 seconds
[METRIC] [2024-06-22T06:52:21.058827] Step 42 Rank 0 processed 400 samples in 0.4403 seconds
[METRIC] [2024-06-22T06:52:21.500782] Step 43 Rank 0 processed 400 samples in 0.4419 seconds
[METRIC] [2024-06-22T06:52:21.942219] Step 44 Rank 0 processed 400 samples in 0.4414 seconds
[METRIC] [2024-06-22T06:52:22.382679] Step 45 Rank 0 processed 400 samples in 0.4404 seconds
[METRIC] [2024-06-22T06:52:22.823212] Step 46 Rank 0 processed 400 samples in 0.4405 seconds
[METRIC] [2024-06-22T06:52:23.267020] Step 47 Rank 0 processed 400 samples in 0.4438 seconds
[METRIC] [2024-06-22T06:52:23.705254] Step 48 Rank 0 processed 400 samples in 0.4382 seconds
[METRIC] [2024-06-22T06:52:24.146915] Step 49 Rank 0 processed 400 samples in 0.4416 seconds
[METRIC] [2024-06-22T06:52:24.588757] Step 50 Rank 0 processed 400 samples in 0.4418 seconds
[METRIC] [2024-06-22T06:52:25.029421] Step 51 Rank 0 processed 400 samples in 0.4406 seconds
